id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Block Party Anthem,Verse Echo,hip-hop,energetic,0.87,95,0.72,0.91,0.08
12,Porch Swing Summer,Blue Ridge Duo,country,nostalgic,0.48,104,0.76,0.65,0.83
13,Iron Cathedral,Fracture Bay,metal,intense,0.96,168,0.30,0.55,0.04
14,Signal Burst,Prism Circuit,edm,energetic,0.94,128,0.66,0.95,0.02
15,Hollow Road,Ash and Ember,folk,melancholic,0.24,68,0.38,0.45,0.91
16,Velvet Hours,Sable Rose,r&b,romantic,0.54,85,0.78,0.70,0.44
17,Morning Sonata,Elara Strings,classical,serene,0.18,72,0.73,0.30,0.97
18,Delta Crossroads,Muddy Creek,blues,sad,0.39,88,0.35,0.52,0.76
